品牌,型号,受欢迎度,CADR 灰尘(m3/h),AHAM认证,最小功率(W),最大功率(W),最小噪音(dB),最大噪音(dB),产地,重量(kg),价格,最大风量,风档,睡眠模式,支持遥控,支持定时,空气质量显示,滤网更新提醒
3M,FAP04,3.5,153,false,"",48.0,"","",台湾,10.0,3247.7,153,3,true,true,true,true,true
3M,KJEA200,3.7,206,false,"",46.0,"",38.0,台湾,4.0,2130.7,206,3,"",false,true,"",true
3M,KJEA400,3.5,468,false,"",48.0,"","",中国,11.0,3598.0,"",3,true,false,true,true,true
3M,MFAC00,2.0,100,false,"",8.0,"",35.0,中国,1.5,"",28,"","",false,"",false,false
3M,MFAC01,5.5,200,false,46.0,46.0,30.0,38.0,台湾,4.9,1399.0,103,3,true,false,true,false,true
Coway,AP-0509DH,6.5,112,false,"",27.0,31.0,44.0,韩国,5.0,"","",3,"","",true,"",true
Coway,AP-1005AH,5.5,168,true,"",47.0,22.0,49.0,韩国,8.8,"",348,5,true,"",true,true,true
Coway,AP-1009CH,7.5,182,false,"",26.0,22.0,49.0,韩国,7.0,1926.7,"",3,false,"",true,true,true
Coway,AP-1012GH,5.5,176,true,"",90.0,30.0,50.6,韩国,7.6,"",336,3,true,"",true,true,true
Coway,AP-1013A,6.7,"","","",45.0,22.0,49.0,韩国,6.4,3580.0,306,3,"","",true,true,""
Coway,AP-1511FH,5.5,234,true,"",80.0,"",49.0,韩国,12.0,"",426,6,true,"",true,true,true
Coway,AP-2510EH,4.7,"","","",90.0,"","","",11.0,"","",3,"",true,true,"",""
Coway,AP-3008FH,4.7,400,true,"",106.0,31.2,52.5,"",25.0,"",1008,5,"","",true,"",""
Coway,APM-0812DH,6.8,"","","",26.0,31.0,44.0,韩国,8.0,"",216,3,true,"",true,true,true
Coway,APM-1510FH,4.7,237,true,"",63.0,"",48.0,"",15.0,"",7,4,"","",true,"",""
IQAir,HEALTHPRO 100,3.9,"","",20.0,160.0,20.0,57.0,瑞士,12.0,12800.0,"",6,true,true,true,true,true
IQAir,HEALTHPRO 150,2.0,"","",20.0,160.0,22.0,57.0,瑞士,14.0,"","",3,true,true,true,true,true
IQAir,HEALTHPRO 250,4.7,"","",20.0,160.0,22.0,57.0,瑞士,16.0,14980.0,1325,3,false,true,true,true,true
IQAir,HEALTHPRO GC MULTIGAS,2.0,"","",20.0,160.0,22.0,57.0,瑞士,20.0,"","",3,true,true,true,true,true
LG,HPS-A090BW,4.0,"","",1.9,3.2,"",32.0,韩国,0.53,"","","","","","","",""
LG,HPS-B090BG,5.9,"","",1.9,3.2,"",32.0,韩国,0.71,1088.0,"",3,true,false,false,false,true
LG,HPS-B090BP,5.9,"","",1.9,3.2,"",32.0,韩国,0.71,1128.0,"",3,true,false,false,false,true
LG,HPS-B090BW,6.9,"","",1.9,4.0,"",32.0,韩国,0.85,1099.0,"",3,true,false,false,false,true
LG,PH-U450WN,6.9,"","",8.0,45.0,"",18.0,韩国,12.0,3600.0,"",3,true,false,true,false,false
LG,PH-U459WN,3.0,"","","",45.0,49.0,18.0,"",12.0,"","","","","","","",""
